12
0	999999	2238	2260	2805	2372	1934	2360	999999	1767	1306	503
999999	0	1713	1819	2798	1856	1566	2031	2715	2004	889	563
2974	2143	0	268	2951	232	113	319	752	1018	3488	1915
3035	1681	268	0	2847	199	702	258	1646	975	3759	2381
799	546	2746	3043	0	2411	3100	2701	1188	883	999999	1450
3068	1697	232	290	2394	0	201	236	785	1031	3783	1915
2908	1840	113	286	3143	201	0	290	611	1055	3639	1737
3038	2317	319	271	2831	206	290	0	1025	878	4812	1998
4587	2811	856	1025	2991	1016	458	696	0	999999	999999	2265
2071	1589	1371	1324	2993	1234	1774	1221	999999	0	999999	3984
1103	1122	2478	2501	999999	2524	2290	2524	3637	999999	0	999999
784	990	2510	1876	3468	1814	2471	1814	3243	3458	999999	0
