12
0	999999	3458	3243	784	990	2510	1876	3468	1814	2471	1814
999999	0	999999	3637	1103	1122	2478	2501	999999	2524	2290	2524
3984	999999	0	999999	2071	1589	1371	1324	2993	1234	1774	1221
2265	999999	999999	0	4587	2811	856	1025	2991	1016	458	696
503	1306	1767	999999	0	999999	2238	2260	2805	2372	1934	2360
563	889	2004	2715	999999	0	1713	1819	2798	1856	1566	2031
1915	3488	1018	752	2974	2143	0	268	2951	232	113	319
2381	3759	975	1646	3035	1681	268	0	2847	199	702	258
1450	999999	883	1188	799	546	2746	3043	0	2411	3100	2701
1915	3783	1031	785	3068	1697	232	290	2394	0	201	236
1737	3639	1055	611	2908	1840	113	286	3143	201	0	290
1998	4812	878	1025	3038	2317	319	271	2831	206	290	0
