12
0	268	2951	232	113	319	2143	2974	752	1018	3488	1915
268	0	2847	199	702	258	1681	3035	1646	975	3759	2381
2746	3043	0	2411	3100	2701	546	799	1188	883	999999	1450
232	290	2394	0	201	236	1697	3068	785	1031	3783	1915
113	286	3143	201	0	290	1840	2908	611	1055	3639	1737
319	271	2831	206	290	0	2317	3038	1025	878	4812	1998
1713	1819	2798	1856	1566	2031	0	999999	2715	2004	889	563
2238	2260	2805	2372	1934	2360	999999	0	999999	1767	1306	503
856	1025	2991	1016	458	696	2811	4587	0	999999	999999	2265
1371	1324	2993	1234	1774	1221	1589	2071	999999	0	999999	3984
2478	2501	999999	2524	2290	2524	1122	1103	3637	999999	0	999999
2510	1876	3468	1814	2471	1814	990	784	3243	3458	999999	0
