12
0	2411	3100	2701	3043	2746	546	799	1188	883	999999	1450
2394	0	201	236	290	232	1697	3068	785	1031	3783	1915
3143	201	0	290	286	113	1840	2908	611	1055	3639	1737
2831	206	290	0	271	319	2317	3038	1025	878	4812	1998
2847	199	702	258	0	268	1681	3035	1646	975	3759	2381
2951	232	113	319	268	0	2143	2974	752	1018	3488	1915
2798	1856	1566	2031	1819	1713	0	999999	2715	2004	889	563
2805	2372	1934	2360	2260	2238	999999	0	999999	1767	1306	503
2991	1016	458	696	1025	856	2811	4587	0	999999	999999	2265
2993	1234	1774	1221	1324	1371	1589	2071	999999	0	999999	3984
999999	2524	2290	2524	2501	2478	1122	1103	3637	999999	0	999999
3468	1814	2471	1814	1876	2510	990	784	3243	3458	999999	0
