12
0	4587	2811	856	1025	2991	1016	458	696	999999	999999	2265
999999	0	999999	2238	2260	2805	2372	1934	2360	1767	1306	503
2715	999999	0	1713	1819	2798	1856	1566	2031	2004	889	563
752	2974	2143	0	268	2951	232	113	319	1018	3488	1915
1646	3035	1681	268	0	2847	199	702	258	975	3759	2381
1188	799	546	2746	3043	0	2411	3100	2701	883	999999	1450
785	3068	1697	232	290	2394	0	201	236	1031	3783	1915
611	2908	1840	113	286	3143	201	0	290	1055	3639	1737
1025	3038	2317	319	271	2831	206	290	0	878	4812	1998
999999	2071	1589	1371	1324	2993	1234	1774	1221	0	999999	3984
3637	1103	1122	2478	2501	999999	2524	2290	2524	999999	0	999999
3243	784	990	2510	1876	3468	1814	2471	1814	3458	999999	0
